tick,scenario,enabled,gini,gini_post_transfer,poverty_rate,poverty_rate_post_transfer,beneficiaries,coverage_ratio,graduated_total,fund_balance,total_transfers,total_surtax_collected,benefit_per_capita,eligibility_threshold,n_acima_180,gini_real,avg_wealth
0,2_padrao,1,0.4607,0.4181,0.595,0.595,80,0.4,0,-404.82,960.0,555.18,12.0,90.0,35,0.4607,110.4
1,2_padrao,1,0.3926,0.359,0.6,0.56,80,0.4,0,-854.34,1920.0,1065.66,12.0,90.0,32,0.3926,115.6
2,2_padrao,1,0.3491,0.3215,0.565,0.495,80,0.4,0,-1348.34,2880.0,1531.66,12.0,90.0,30,0.3491,117.7
3,2_padrao,1,0.3121,0.2905,0.49,0.375,80,0.4,0,-1875.82,3840.0,1964.18,12.0,90.0,26,0.3121,120.0
4,2_padrao,1,0.2819,0.2652,0.385,0.35,80,0.4,0,-2469.83,4800.0,2330.17,12.0,90.0,24,0.2819,122.5
5,2_padrao,1,0.2573,0.2446,0.355,0.23,80,0.4,0,-3091.44,5760.0,2668.56,12.0,90.0,22,0.2573,125.3
6,2_padrao,1,0.2377,0.228,0.235,0.215,80,0.4,0,-3756.58,6720.0,2963.42,12.0,90.0,22,0.2377,128.2
7,2_padrao,1,0.2214,0.2142,0.215,0.215,80,0.4,0,-4437.15,7680.0,3242.85,12.0,90.0,21,0.2214,131.3
8,2_padrao,1,0.2082,0.2039,0.215,0.215,80,0.4,0,-5140.93,8640.0,3499.07,12.0,90.0,15,0.2082,134.4
9,2_padrao,1,0.1997,0.199,0.215,0.215,80,0.4,0,-5910.92,9600.0,3689.08,12.0,90.0,16,0.1997,137.9
10,2_padrao,1,0.1952,0.1985,0.22,0.22,80,0.4,0,-6663.65,10560.0,3896.35,12.0,90.0,24,0.1952,141.3
11,2_padrao,1,0.194,0.2003,0.22,0.22,80,0.4,0,-7366.76,11520.0,4153.24,12.0,90.0,49,0.194,144.4
12,2_padrao,1,0.1926,0.201,0.22,0.22,80,0.4,0,-7833.24,12480.0,4646.76,12.0,90.0,56,0.1926,146.4
13,2_padrao,1,0.1927,0.2027,0.22,0.22,80,0.4,0,-8242.29,13440.0,5197.71,12.0,90.0,72,0.1927,148.0
14,2_padrao,1,0.1938,0.2046,0.225,0.225,80,0.4,0,-8502.12,14400.0,5897.88,12.0,90.0,80,0.1938,149.0
15,2_padrao,1,0.1956,0.207,0.22,0.22,80,0.4,0,-8682.69,15360.0,6677.31,12.0,90.0,83,0.1956,149.5
16,2_padrao,1,0.1981,0.2098,0.215,0.215,80,0.4,0,-8830.19,16320.0,7489.81,12.0,90.0,85,0.1981,149.9
17,2_padrao,1,0.2009,0.2128,0.22,0.22,80,0.4,0,-8953.49,17280.0,8326.51,12.0,90.0,84,0.2009,150.1
18,2_padrao,1,0.2041,0.2161,0.22,0.22,80,0.4,0,-9071.13,18240.0,9168.87,12.0,90.0,83,0.2041,150.2
19,2_padrao,1,0.2073,0.2191,0.22,0.22,80,0.4,0,-9209.68,19200.0,9990.32,12.0,90.0,81,0.2073,150.5
20,2_padrao,1,0.2103,0.2223,0.235,0.235,80,0.4,0,-9350.76,20160.0,10809.24,12.0,90.0,81,0.2103,150.8
21,2_padrao,1,0.2134,0.2253,0.235,0.235,80,0.4,0,-9476.33,21120.0,11643.67,12.0,90.0,81,0.2134,151.0
22,2_padrao,1,0.2166,0.2284,0.235,0.235,80,0.4,0,-9604.73,22080.0,12475.27,12.0,90.0,81,0.2166,151.3
23,2_padrao,1,0.2197,0.2314,0.235,0.235,80,0.4,0,-9727.39,23040.0,13312.61,12.0,90.0,80,0.2197,151.5
24,2_padrao,1,0.2227,0.2343,0.235,0.235,80,0.4,0,-9844.33,24000.0,14155.67,12.0,90.0,80,0.2227,151.6
25,2_padrao,1,0.2256,0.2371,0.235,0.235,80,0.4,0,-9964.67,24960.0,14995.33,12.0,90.0,80,0.2256,151.8
26,2_padrao,1,0.2284,0.2397,0.24,0.24,80,0.4,0,-10079.69,25920.0,15840.31,12.0,90.0,80,0.2284,152.0
27,2_padrao,1,0.231,0.2423,0.24,0.24,80,0.4,0,-10189.64,26880.0,16690.36,12.0,90.0,80,0.231,152.1
28,2_padrao,1,0.2336,0.2448,0.24,0.24,80,0.4,0,-10294.79,27840.0,17545.21,12.0,90.0,80,0.2336,152.2
29,2_padrao,1,0.2362,0.2462,0.24,0.24,80,0.4,0,-10395.36,28800.0,18404.64,12.0,90.0,80,0.2362,152.3
30,2_padrao,1,0.2375,0.2465,0.24,0.24,80,0.4,0,-10395.6,29664.0,19268.4,12.0,90.0,80,0.2375,151.9
31,2_padrao,1,0.2378,0.2457,0.24,0.24,80,0.4,0,-10300.51,30432.0,20131.49,12.0,90.0,80,0.2378,151.1
